speed pavillonsNetwork.node[0].veinsmobility (#0 - Default-0-20230517-21:30:03-78765),,speed pavillonsNetwork.node[7].veinsmobility (#0 - Default-0-20230517-21:30:03-78765),,speed pavillonsNetwork.node[10].veinsmobility (#0 - Default-0-20230517-21:30:03-78765),,speed pavillonsNetwork.node[13].veinsmobility (#0 - Default-0-20230517-21:30:03-78765),,speed pavillonsNetwork.node[16].veinsmobility (#0 - Default-0-20230517-21:30:03-78765),
,,,,114,8.617604723089900855,117,13.77797512258599961,,
,,,,115,10.35452133913699763,118,12.93614683910199751,,
,,,,116,11.90511304475199946,119,8.436146839101898065,,
,,,,117,7.405113044751599785,120,9.90146040436729888,,
,,,,118,2.905113044751599795,121,12.05902118978499966,,
,,,,119,0,122,7.723377847870299435,,
,,,,120,0,123,3.2648465708426002,,
,,,,121,0,124,1.257662077642899941,,
,,,,122,0,125,0.049237721063839001,,
,,,,123,0,126,0.032349230403884002,,
,,,,124,0,127,0.009288427604098498,,
,,,,125,0,128,0.004458626503311999,,
,,,,126,0,129,0.000540089334576369,,
,,,,127,0,130,0.000144638674880299,,
,,,,128,0,131,0,,
,,,,129,0,132,0,,
,,,,130,0,133,0,,
,,,,131,0,134,0,,
,,,,132,0,135,0,,
,,,,133,0,136,0,,
,,,,134,0,137,0,,
,,,,135,0,138,0,,
,,,,136,0,139,0,,
,,,,137,0,140,0,,
,,,,138,0,141,0,,
,,,,139,0,142,0,,
,,,,140,0,143,0,,
,,,,141,0,144,0,,
,,,,142,0,145,0,,
,,,,143,0,146,0,,
,,,,144,0,147,0,,
,,,,145,0,148,0,,
,,,,146,0,149,0,,
,,,,147,0,150,0,,
,,,,148,0,151,0,,
,,,,149,0,152,0,,
,,,,150,0,153,0,,
,,,,151,0,154,0,,
,,,,152,0,155,0,,
,,,,153,0,156,0,,
,,,,154,0,157,0,,
,,,,155,0,158,0,,
,,,,156,0,159,0,,
,,,,157,0,160,0,,
,,,,158,0,161,0,,
,,,,159,0,162,0,,
,,,,160,0,163,0,,
,,,,161,0,164,0,,
,,,,162,0,165,0,,
,,,,163,0,166,0,,
,,,,164,0,167,0,,
,,,,165,0,168,0,,
,,,,166,0,169,1.32872808076949988,,
,,,,167,0,170,3.461630570066799507,,
,,,,168,2.000269272201699688,171,4.873864777472599365,,
,,,,169,3.110203059406699367,172,5.914263886871198725,,
,,,,170,4.527004062354299287,173,5.654382317379498675,,
,,,,171,5.874552282777299765,174,8.03150556143969748,,
,,,,172,7.79171990865629911,175,9.82054968656169787,,
,,,,,,176,11.88707254943999907,,
,,,,,,177,13.9972758151420002,,
,,,,,,178,16.48674130060799562,,
,,,,,,179,18.32445603777299672,,
